,p,q,aic,bic
93,8,5,-5762.7092417530785,-5682.203085854863
43,3,10,-5762.655522795116,-5682.149366896901
119,10,9,-5761.898903931742,-5649.190285674241
83,7,6,-5760.183241202019,-5679.677085303804
116,10,6,-5760.0526136619865,-5663.445226584128
107,9,8,-5759.827462405974,-5657.852998268235
104,9,5,-5758.901778336944,-5673.028545378847
69,6,3,-5758.865967044027,-5699.828119385335
94,8,6,-5758.668062150755,-5672.794829192659
57,5,2,-5758.644279262315,-5710.340585723386
6,0,6,-5758.45808229855,-5715.521465819502
117,10,7,-5758.154004537215,-5656.179540399476
68,6,2,-5757.86503692678,-5704.19426632797
46,4,2,-5757.67541596296,-5714.738799483912
58,5,3,-5757.557994807179,-5703.887224208369
7,0,7,-5757.3772085842065,-5709.073515045277
10,0,10,-5757.128016231707,-5692.723091513135
66,6,0,-5756.886523489933,-5713.949907010885
70,6,4,-5756.870887770616,-5692.465963052044
80,7,3,-5756.868118298416,-5692.463193579844
47,4,3,-5756.752982690086,-5708.449289151157
81,7,4,-5756.627317945702,-5686.855316167249
90,8,2,-5756.5887246075035,-5692.183799888931
110,10,0,-5756.574333816545,-5692.169409097973
118,10,8,-5756.462036170962,-5649.120494973342
79,7,2,-5756.018804758487,-5696.980957099796
71,6,5,-5755.859045943651,-5686.087044165198
77,7,0,-5755.8237115909105,-5707.520018051981
67,6,1,-5755.694826547671,-5707.391133008742
8,0,8,-5755.689280331055,-5702.018509732245
59,5,4,-5755.688748454335,-5696.650900795644
21,1,10,-5755.4889917596065,-5685.716989981153
0,0,0,-5755.370724118556,-5744.636569998794
91,8,3,-5755.344628729268,-5685.572626950815
105,9,6,-5754.9031660978635,-5663.662856079886
120,10,10,-5754.718777790211,-5636.643082472829
111,10,1,-5754.681022275947,-5684.909020497494
32,2,10,-5754.405884738575,-5679.266805900241
115,10,5,-5754.162714321281,-5662.922404303304
9,0,9,-5754.134478570208,-5695.0966309115165
88,8,0,-5754.117076904076,-5700.446306305266
78,7,1,-5754.064730808323,-5700.393960209512
82,7,5,-5754.058878513932,-5678.9197996755975
31,2,9,-5754.05044889825,-5684.2784471197965
92,8,4,-5753.933325579812,-5678.794246741478
19,1,8,-5753.741037411835,-5694.703189753144
101,9,2,-5753.725613713452,-5683.953611934999
102,9,3,-5753.656293217213,-5678.517214378879
112,10,2,-5753.622819924423,-5678.483741086089
1,0,1,-5753.612662146083,-5737.51143096644
11,1,0,-5753.60350787129,-5737.502276691647
89,8,1,-5753.342630517322,-5694.3047828586305
20,1,9,-5753.0317099130625,-5688.62678519449
100,9,1,-5753.008678047821,-5688.603753329249
103,9,4,-5752.899193291725,-5672.39303739351
99,9,0,-5752.78828741379,-5693.750439755099
35,3,2,-5752.555871803959,-5714.986332384792
2,0,2,-5752.245515401863,-5730.7772071623385
33,3,0,-5752.158915474152,-5725.323530174747
22,2,0,-5752.147774414749,-5730.679466175225
3,0,3,-5752.069502457594,-5725.234117158189
44,4,0,-5752.0246514799455,-5719.8221891206595
23,2,1,-5751.61628555366,-5724.780900254255
113,10,3,-5751.534081457985,-5671.02792555977
4,0,4,-5751.430036290038,-5719.2275739307515
34,3,1,-5751.0724620633555,-5718.869999704069
106,9,7,-5750.9214650619415,-5654.314077984083
114,10,4,-5750.904804673073,-5665.031571714977
56,5,1,-5750.604358326211,-5707.667741847163
55,5,0,-5750.318990459062,-5712.749451039895
95,8,7,-5750.130054291165,-5658.889744273188
45,4,1,-5750.079606756013,-5712.510067336846
5,0,5,-5749.526641002762,-5711.9571015835945
12,1,1,,
13,1,2,,
14,1,3,,
15,1,4,,
16,1,5,,
17,1,6,,
18,1,7,,
24,2,2,,
25,2,3,,
26,2,4,,
27,2,5,,
28,2,6,,
29,2,7,,
30,2,8,,
36,3,3,,
37,3,4,,
38,3,5,,
39,3,6,,
40,3,7,,
41,3,8,,
42,3,9,,
48,4,4,,
49,4,5,,
50,4,6,,
51,4,7,,
52,4,8,,
53,4,9,,
54,4,10,,
60,5,5,,
61,5,6,,
62,5,7,,
63,5,8,,
64,5,9,,
65,5,10,,
72,6,6,,
73,6,7,,
74,6,8,,
75,6,9,,
76,6,10,,
84,7,7,,
85,7,8,,
86,7,9,,
87,7,10,,
96,8,8,,
97,8,9,,
98,8,10,,
108,9,9,,
109,9,10,,
